0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0.0228972
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0.169626
33	0.00140187
34	0
35	0
36	0
37	0
38	0
39	0.0196262
40	0
41	0
42	0
43	0
44	0.0149533
45	0.00186916
46	0.0116822
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0.00186916
60	0
61	0
62	0
63	0.00046729
64	0
65	0.00607477
66	0
67	0.00186916
68	0.00280374
69	0
70	0.00046729
71	0
72	0.00140187
73	0.00420561
74	0
75	0
76	0.00233645
77	0
78	0.00046729
79	0.000934579
80	0
81	0
82	0
83	0.00140187
84	0.00747664
85	0
86	0.00046729
87	0.00046729
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0.0383178
98	0.0135514
99	0.0140187
100	0.0317757
101	0.0878505
102	0.0116822
103	0.0130841
104	0.0406542
105	0.0565421
106	0.000934579
107	0.00700935
108	0.0303738
109	0.021028
110	0.0551402
111	0.0588785
112	0.0116822
113	0
114	0.0317757
115	0.0724299
116	0.0827103
117	0.0224299
118	0.00514019
119	0.00654206
120	0.000934579
121	0.00981308
122	0.000934579
123	0
124	0
125	0
126	0
127	0
